elapsed_s,stamp_s,x_in_path_frame_m,y_in_path_frame_m,signed_cte_m,tracking_error_m
4.601230145,1787875081.030133247,0.788338238,0.376162320,0.041526441,0.041526441
4.652464390,1787875081.081367493,0.799277409,0.379013004,0.039753491,0.039753491
4.700633287,1787875081.129536390,0.809051994,0.381240656,0.037876532,0.037876532
4.750292301,1787875081.179195404,0.817622386,0.382921295,0.035981087,0.035981087
4.800060749,1787875081.228963852,0.829241795,0.384810179,0.033054325,0.033054325
4.851193428,1787875081.280096531,0.839816490,0.386194041,0.030083623,0.030083623
4.899988651,1787875081.328891754,0.846914754,0.386912276,0.027896522,0.027896522
4.950858116,1787875081.379761219,0.857833131,0.387714111,0.024254837,0.024254837
5.000940561,1787875081.429843664,0.864798856,0.388065809,0.021785055,0.021785055
5.050045252,1787875081.478948355,0.873651490,0.388331886,0.018480520,0.018480520
5.100952625,1787875081.529855728,0.880982140,0.388431183,0.015633230,0.015633230
5.150110483,1787875081.579013586,0.891302555,0.388452076,0.011515754,0.011515754
5.201215982,1787875081.630119085,0.891686086,0.385015814,0.008213871,0.008213871
5.252249002,1787875081.681152105,0.900104118,0.384647140,0.004502001,0.004502001
5.301034927,1787875081.729938030,0.908940489,0.384272001,0.000616531,0.000616531
5.352275610,1787875081.781178713,0.917964024,0.383962433,-0.003283884,0.003283884
5.400372028,1787875081.829275131,0.927618797,0.383797088,-0.007305181,0.007305181
5.450067997,1787875081.878971100,0.937594572,0.383865778,-0.011240729,0.011240729
5.500392675,1787875081.929295778,0.948903553,0.384286579,-0.015388062,0.015388062
5.552339554,1787875081.981242657,0.959539834,0.385066816,-0.018936464,0.018936464
5.600004196,1787875082.028907299,0.970445040,0.386279105,-0.022196828,0.022196828
5.650512218,1787875082.079415321,0.977014145,0.387263648,-0.023927853,0.023927853
5.700277328,1787875082.129180431,0.987857461,0.389305500,-0.026403401,0.026403401
5.750061512,1787875082.178964615,0.996230456,0.391206172,-0.028018140,0.028018140
5.800008059,1787875082.228911161,1.006151779,0.393864284,-0.029559545,0.029559545
5.850910902,1787875082.279814005,1.014181629,0.396376959,-0.030476054,0.030476054
5.900123596,1787875082.329026699,0.990702487,0.397755073,-0.019802602,0.019802602
5.950072050,1787875082.378975153,1.001123748,0.402707639,-0.019442310,0.019442310
6.003121138,1787875082.432024240,1.009334922,0.407099173,-0.018710167,0.018710167
6.050484180,1787875082.479387283,1.019130028,0.412888979,-0.017331857,0.017331857
6.100925446,1787875082.529828548,1.027269074,0.418130509,-0.015792073,0.015792073
6.151367664,1787875082.580270767,1.035926625,0.424123692,-0.013771484,0.013771484
6.200413465,1787875082.629316568,1.042049272,0.428629546,-0.012097486,0.012097486
6.250493526,1787875082.679396629,1.050048995,0.434853802,-0.009601528,0.009601528
6.301780701,1787875082.730683804,1.056706401,0.440275845,-0.007302497,0.007302497
6.350842953,1787875082.779746056,1.063814854,0.446271669,-0.004658581,0.004658581
6.401217461,1787875082.830120564,1.070098881,0.451717472,-0.002188125,0.002188125
6.450472832,1787875082.879375935,1.076930141,0.457752055,0.000602405,0.000602405
6.500776291,1787875082.929679394,1.050986418,0.462966608,0.015778489,0.015778489
6.550561190,1787875082.979464293,1.057451604,0.470122440,0.019742988,0.019742988
6.600405693,1787875083.029308796,1.062365538,0.475563170,0.022757957,0.022757957
6.650992393,1787875083.079895496,1.064398170,0.477788229,0.023981743,0.023981743
6.701821804,1787875083.130724907,1.065004893,0.478433431,0.024329664,0.024329664
6.752045870,1787875083.180948973,1.064927542,0.478354229,0.010616381,0.010616381
6.800994873,1787875083.229897976,1.063994714,0.477425683,0.011269567,0.011269567
6.850002527,1787875083.278905630,1.062592779,0.476044323,0.012451245,0.012451245
6.901565075,1787875083.330468178,1.059843525,0.473331332,0.015248237,0.015248237
6.950731754,1787875083.379634857,1.059564195,0.473053992,0.015558173,0.015558173
7.000050545,1787875083.428953648,1.058417834,0.471904074,0.016868889,0.016868889
7.050019026,1787875083.478922129,1.057874638,0.471351359,0.017509923,0.017509923
7.100015163,1787875083.528918266,1.057857511,0.471333698,0.017530360,0.017530360
7.150019407,1787875083.578922510,1.057866044,0.471342558,0.017520163,0.017520163
7.200363398,1787875083.629266500,1.057866044,0.471342558,0.017520163,0.017520163
7.250656843,1787875083.679559946,1.057866044,0.471342558,0.017520163,0.017520163
7.300029278,1787875083.728932381,1.057737922,0.471209781,0.017673483,0.017673483
7.351551533,1787875083.780454636,1.057387677,0.470846899,0.018095560,0.018095560
7.400211096,1787875083.829114199,1.072734870,0.464627467,-0.010617167,0.010617167
7.452022791,1787875083.880925894,1.072274465,0.464257806,-0.011082758,0.011082758
7.500323534,1787875083.929226637,1.072649471,0.464556998,-0.010704453,0.010704453
7.549975634,1787875083.978878736,1.073256545,0.465038679,-0.010112924,0.010112924
7.600267410,1787875084.029170513,1.074647555,0.466135351,-0.008871815,0.008871815
7.650287151,1787875084.079190254,1.076264888,0.467401906,-0.007702787,0.007702787
7.700262785,1787875084.129165888,1.078895631,0.469449261,-0.006672414,0.006672414
7.751194715,1787875084.180097818,1.082003109,0.471845342,-0.005799084,0.005799084
7.801141739,1787875084.230044842,1.087113858,0.475712176,-0.004429856,0.004429856
7.851826191,1787875084.280729294,1.092902975,0.479965627,-0.002993873,0.002993873
7.900923491,1787875084.329826593,1.114395670,0.480929173,-0.011125701,0.011125701
7.950013161,1787875084.378916264,1.121816543,0.486136706,-0.009507251,0.009507251
8.001248360,1787875084.430151463,1.130746572,0.492101061,-0.007834061,0.007834061
8.050011158,1787875084.478914261,1.139586734,0.497684442,-0.006469120,0.006469120
8.099981308,1787875084.528884411,1.149546314,0.503606875,-0.005265434,0.005265434
8.150262833,1787875084.579165936,1.159117208,0.508922126,-0.004450163,0.004450163
8.200404167,1787875084.629307270,1.184241683,0.513428169,-0.010887477,0.010887477
8.250622749,1787875084.679525852,1.193055020,0.517403690,-0.010971166,0.010971166
8.304696321,1787875084.733599424,1.204435521,0.522168669,-0.011413851,0.011413851
8.350220680,1787875084.779123783,1.214163604,0.525967344,-0.012041441,0.012041441
8.399989605,1787875084.828892708,1.225138090,0.529982236,-0.012995029,0.012995029
8.450081587,1787875084.878984690,1.232448214,0.532517418,-0.013756555,0.013756555
8.500493050,1787875084.929396152,1.245355188,0.536818557,-0.015260068,0.015260068
8.551718950,1787875084.980622053,1.258943487,0.541213348,-0.016964065,0.016964065
8.600008249,1787875085.028911352,1.274394902,0.546163068,-0.018944961,0.018944961
8.650490046,1787875085.079393148,1.288793351,0.550850961,-0.020722332,0.020722332
8.702445984,1787875085.131349087,1.303020257,0.555703414,-0.022278404,0.022278404
8.750189543,1787875085.179092646,1.314353967,0.559881978,-0.023233921,0.023233921
8.802119732,1787875085.231022835,1.328426858,0.565636268,-0.023906619,0.023906619
8.850107908,1787875085.279011011,1.342647949,0.572191065,-0.023914595,0.023914595
8.900365353,1787875085.329268456,1.355838031,0.579087226,-0.023180573,0.023180573
8.949984312,1787875085.378887415,1.369595633,0.587262707,-0.021522804,0.021522804
9.001276731,1787875085.430179834,1.381324411,0.595171268,-0.019257191,0.019257191
9.049994946,1787875085.478898048,1.393761880,0.604563188,-0.015941733,0.015941733
9.101725340,1787875085.530628443,1.412986388,0.619493486,-0.010441816,0.010441816
9.152029753,1787875085.580932856,1.424167029,0.629429836,-0.006105353,0.006105353
9.201178551,1787875085.630081654,1.434382619,0.639108091,-0.001598817,0.001598817
9.250690460,1787875085.679593563,1.443054895,0.647762288,0.002624655,0.002624655
9.300024509,1787875085.728927612,1.451534822,0.656570928,0.007068959,0.007068959
9.351977348,1787875085.780880451,1.460682841,0.666339649,0.012105009,0.012105009
9.400323153,1787875085.829226255,1.468713426,0.675031030,0.016631147,0.016631147
