elapsed_s,stamp_s,x_in_path_frame_m,y_in_path_frame_m,signed_cte_m,tracking_error_m
7.250187159,1787875208.212711573,1.239419435,0.613594499,0.004056401,0.004056401
7.300364017,1787875208.262888432,1.252191437,0.622111797,0.007313777,0.007313777
7.353407383,1787875208.315931797,1.265711666,0.631103387,0.010739009,0.010739009
7.400104761,1787875208.362629175,1.277354694,0.638718620,0.013569597,0.013569597
7.451390505,1787875208.413914919,1.287089868,0.644888973,0.015752973,0.015752973
7.500363350,1787875208.462887764,1.300671416,0.653118778,0.018446751,0.018446751
7.549879074,1787875208.512403488,1.312099906,0.659647655,0.020344658,0.020344658
7.599787474,1787875208.562311888,1.324194680,0.666036697,0.021868786,0.021868786
7.649861574,1787875208.612385988,1.319503929,0.660877547,0.018782084,0.018782084
7.700172424,1787875208.662696838,1.331414423,0.666122819,0.019309028,0.019309028
7.749783278,1787875208.712307692,1.342214530,0.670354998,0.019299050,0.019299050
7.800045252,1787875208.762569666,1.353061621,0.674141577,0.018857150,0.018857150
7.849854231,1787875208.812378645,1.363311636,0.677344097,0.018089957,0.018089957
7.901151657,1787875208.863676071,1.374717485,0.680542267,0.016896084,0.016896084
7.949839115,1787875208.912363529,1.388055674,0.683942142,0.015183381,0.015183381
8.006780386,1787875208.969304800,1.399943492,0.686749353,0.013449389,0.013449389
8.051765203,1787875209.014289618,1.410484877,0.689155329,0.011834272,0.011834272
8.100301266,1787875209.062825680,1.421347620,0.691590238,0.010128579,0.010128579
8.149877787,1787875209.112402201,1.435809886,0.694781873,0.007811036,0.007811036
8.200133801,1787875209.162658215,1.519477493,0.679690938,-0.036828133,0.036828133
8.249837637,1787875209.212362051,1.531004349,0.681193145,-0.039644774,0.039644774
8.299934149,1787875209.262458563,1.544168962,0.683066581,-0.042714743,0.042714743
8.349836588,1787875209.312361002,1.558300342,0.685294460,-0.045808313,0.045808313
8.402350426,1787875209.364874840,1.572868850,0.687890237,-0.048719300,0.048719300
8.450033665,1787875209.412558079,1.585229074,0.690441106,-0.050864619,0.050864619
8.499867439,1787875209.462391853,1.596071215,0.693072512,-0.052379889,0.052379889
8.551456213,1787875209.513980627,1.607930787,0.696429292,-0.053592042,0.053592042
8.599827766,1787875209.562352180,1.617040624,0.699401318,-0.054156858,0.054156858
8.650315762,1787875209.612840176,1.628911172,0.703830375,-0.054375000,0.054375000
8.700617313,1787875209.663141727,1.597823019,0.699043413,-0.047463016,0.047463016
8.751550198,1787875209.714074612,1.609642371,0.704890444,-0.046342657,0.046342657
8.799912930,1787875209.762437344,1.620046617,0.710579459,-0.044851935,0.044851935
8.852367878,1787875209.814892292,1.631381880,0.717412960,-0.042636409,0.042636409
8.900225401,1787875209.862749815,1.642022941,0.724447418,-0.039980006,0.039980006
8.951142550,1787875209.913666964,1.651504643,0.731277940,-0.037089494,0.037089494
9.001466751,1787875209.963991165,1.662342853,0.739703206,-0.033210683,0.033210683
9.050786972,1787875210.013311386,1.671938691,0.747691001,-0.029284771,0.029284771
9.099864960,1787875210.062389374,1.681555376,0.756183557,-0.024896676,0.024896676
9.150120974,1787875210.112645388,1.689946795,0.763958740,-0.020728255,0.020728255
9.199851751,1787875210.162376165,1.698962265,0.772649490,-0.015935854,0.015935854
9.249958038,1787875210.212482452,1.707235650,0.780867483,-0.011312128,0.011312128
9.300600290,1787875210.263124704,1.716780813,0.790544522,-0.005795421,0.005795421
9.350444555,1787875210.312968969,1.726664237,0.800665169,0.000010489,0.000010489
9.400918722,1787875210.363443136,1.736845999,0.811044609,0.005948183,0.005948183
9.450952291,1787875210.413476706,1.746189362,0.820349790,0.011192572,0.011192572
9.499830723,1787875210.462355137,1.755451437,0.829209961,0.016052489,0.016052489
