elapsed_s,stamp_s,status,icp_attempted,icp_accepted,current_point_count,match_count,inlier_ratio,rmse_m,iterations,converged,icp_processing_time_ms,correction_translation_m,correction_rotation_rad,pose_step_translation_m,pose_step_rotation_rad,accepted_pose_jump_translation_m,accepted_pose_jump_rotation_rad
11.0870840549469,1788476985.940278,icp_accepted,True,True,462,457,0.989177489177,0.0314738763877,15,True,84.26164,0.0517133919515,0.0153908473336,0.014989180011,0.0717138896169,0.0517133919515,0.0153908473336
11.691561698913574,1788476986.5447557,icp_accepted,True,True,466,456,0.978540772532,0.0299465453221,13,True,40.247175,0.0584236074469,0.0156470296956,0.0429456644697,0.044271963649,0.0584236074469,0.0156470296956
12.086879253387451,1788476986.9400733,icp_accepted,True,True,440,422,0.959090909091,0.0403500798615,12,True,42.9133,0.0543576846098,0.0200514398015,0.104876964486,0.0104528140429,0.0543576846098,0.0200514398015
12.586855411529541,1788476987.4400494,icp_accepted,True,True,467,461,0.987152034261,0.0316997572791,15,True,50.298381,0.0654382692232,0.0253834155816,0.123311633235,0.0569451924409,0.0654382692232,0.0253834155816
13.091107606887817,1788476987.9443016,icp_accepted,True,True,492,481,0.977642276423,0.0362893619914,12,True,55.039725,0.0721059785783,0.00895379281694,0.136736798097,0.0544396890496,0.0721059785783,0.00895379281694
13.590348720550537,1788476988.4435427,icp_accepted,True,True,495,491,0.991919191919,0.0298660239605,16,True,73.250103,0.0916673694078,0.0246284785298,0.124475341278,0.0331466986225,0.0916673694078,0.0246284785298
14.18651008605957,1788476989.039704,icp_accepted,True,True,483,476,0.985507246377,0.0273283120979,16,True,81.918441,0.0933430868761,0.0209004716812,0.159543828299,0.0996942141457,0.0933430868761,0.0209004716812
14.686178922653198,1788476989.539373,icp_accepted,True,True,471,458,0.972399150743,0.043153050249,6,True,30.178969,0.0136301433941,0.00574770788113,0.0591881526685,0.102550928109,0.0136301433941,0.00574770788113
15.187536716461182,1788476990.0407307,icp_accepted,True,True,481,458,0.952182952183,0.0464567459216,11,True,44.544113,0.00145080770254,0.0269437534915,0.0420137265913,0.0512274426241,0.00145080770254,0.0269437534915
15.689854383468628,1788476990.5430484,icp_accepted,True,True,484,446,0.921487603306,0.0455916892661,14,True,69.98022,0.0117331557695,0.0397360242255,0.0666042800125,0.239919892686,0.0117331557695,0.0397360242255
16.28445792198181,1788476991.137652,icp_accepted,True,True,482,460,0.954356846473,0.0520324636733,8,True,35.95146,0.0296859502213,0.00196269098717,0.0900384374832,0.112669223227,0.0296859502213,0.00196269098717
16.779030799865723,1788476991.6322248,stationary,False,False,478,,,,,,,,,0.00550535971178,0.0160662846468,,
17.18133544921875,1788476992.0345294,stationary,False,False,486,,,,,,,,,0.0021054365776,0.00283154456451,,
17.686981916427612,1788476992.540176,icp_accepted,True,True,491,470,0.957230142566,0.0548294666368,9,True,28.224028,0.0435445519542,0.00401548895861,0.0314094504075,0.0335099310646,0.0435445519542,0.00401548895861
18.18692946434021,1788476993.0401235,icp_accepted,True,True,491,442,0.900203665988,0.0569147194766,12,True,56.411298,0.033123328219,0.028608923876,0.141621875939,0.0138680523171,0.033123328219,0.028608923876
18.6845486164093,1788476993.5377426,icp_accepted,True,True,484,472,0.97520661157,0.0573618072955,12,True,44.614576,0.0443696938724,0.0135753178074,0.050211916502,0.142711654448,0.0443696938724,0.0135753178074
19.280697345733643,1788476994.1338913,icp_accepted,True,True,482,451,0.935684647303,0.0448493888133,8,True,36.349441,0.0441174735302,0.007442884705,0.0287681864112,0.0850031921432,0.0441174735302,0.007442884705
19.78019380569458,1788476994.6333878,stationary,False,False,485,,,,,,,,,0.00788538463366,0.0190141561188,,
20.277007579803467,1788476995.1302016,icp_accepted,True,True,498,489,0.981927710843,0.0476467041707,13,True,56.421353,0.0445788419084,0.0377385485245,0.0565827341206,0.167408609701,0.0445788419084,0.0377385485245
20.879761695861816,1788476995.7329557,icp_accepted,True,True,486,466,0.958847736626,0.0368833762269,9,True,45.075372,0.0665044009554,0.00248925223381,0.124018927793,0.231659413546,0.0665044009554,0.00248925223381
21.371864080429077,1788476996.225058,icp_accepted,True,True,486,476,0.979423868313,0.055053444125,14,True,51.455491,0.0834010534267,0.0479094505802,0.128242702026,0.166567988987,0.0834010534267,0.0479094505802
21.77225661277771,1788476996.6254506,icp_accepted,True,True,477,466,0.976939203354,0.0390044240251,8,True,44.014929,0.0475212195798,0.00262801034511,0.161812677007,0.135267946935,0.0475212195798,0.00262801034511
22.37846541404724,1788476997.2316594,icp_accepted,True,True,484,474,0.979338842975,0.0414134768336,14,True,69.539629,0.0803037232068,0.0332165486404,0.120915112237,0.366507431776,0.0803037232068,0.0332165486404
22.876025915145874,1788476997.72922,icp_accepted,True,True,487,479,0.983572895277,0.0533643228838,17,True,71.948755,0.0418775069629,0.0517399365137,0.0170234422666,0.0434681688036,0.0418775069629,0.0517399365137
23.373250007629395,1788476998.226444,icp_accepted,True,True,488,458,0.938524590164,0.0729061419606,16,True,55.408966,0.0565777798777,0.0775080836334,0.0324401917515,0.0548515090311,0.0565777798777,0.0775080836334
23.87146019935608,1788476998.7246542,icp_accepted,True,True,490,420,0.857142857143,0.0750724685314,20,True,80.177445,0.0457055400339,0.0839435964345,0.137612970558,0.298299808765,0.0457055400339,0.0839435964345
24.4828040599823,1788476999.335998,icp_accepted,True,True,487,458,0.94045174538,0.0609870878065,11,True,41.207656,0.0184676179094,0.0266799826592,0.194320572008,0.241503515688,0.0184676179094,0.0266799826592
24.977091073989868,1788476999.830285,icp_accepted,True,True,488,469,0.96106557377,0.0493662291791,20,True,71.889885,0.0714597637019,0.0501314880325,0.0802428639334,0.169434262011,0.0714597637019,0.0501314880325
25.56884741783142,1788477000.4220414,icp_accepted,True,True,492,486,0.987804878049,0.0412661960034,27,True,89.514505,0.099957642579,0.112761836586,0.106856029581,0.380232193662,0.099957642579,0.112761836586
26.072810173034668,1788477000.9260042,icp_accepted,True,True,498,486,0.975903614458,0.0421412676062,16,True,76.163138,0.0826918572772,0.0470422847997,0.122067356468,0.185345923151,0.0826918572772,0.0470422847997
26.682270288467407,1788477001.5354643,icp_accepted,True,True,483,473,0.979296066253,0.0454759689297,17,True,74.109049,0.058820096269,0.0297471325299,0.1883353064,0.379687068072,0.058820096269,0.0297471325299
27.17099142074585,1788477002.0241854,icp_accepted,True,True,472,468,0.991525423729,0.0387792842529,14,True,70.911776,0.119995559509,0.0315592329781,0.0111288937107,0.220003240751,0.119995559509,0.0315592329781
27.766520500183105,1788477002.6197145,icp_accepted,True,True,492,488,0.991869918699,0.0249684844011,13,True,68.219021,0.111375280946,0.0203959997301,0.0129789337333,0.0369529052668,0.111375280946,0.0203959997301
28.276931762695312,1788477003.1301258,stationary,False,False,471,,,,,,,,,0.0085414977275,0.00651672152856,,
28.775038957595825,1788477003.628233,icp_accepted,True,True,470,468,0.995744680851,0.030325395069,20,True,78.382079,0.132438697384,0.0637692317658,0.0223602873132,0.0699961150026,0.132438697384,0.0637692317658
29.272434949874878,1788477004.125629,icp_accepted,True,True,486,483,0.993827160494,0.0358162964087,18,True,82.247018,0.129951486424,0.0702408205936,0.108840980889,0.294807280838,0.129951486424,0.0702408205936
